I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, 4, 14, 2, -12, 9, 29, 43, 58, 34, -29, -43, 
-4, 4, 9, 0, -7, 7, 34, 43, 58, 34, -29, -43, 
-4, 4, 9, 0, -7, 7, 34, 48, 63, 29, -29, -43, 
-4, 9, 14, -2, -9, 12, 34, 48, 63, 29, -29, -48, 
4, 9, 4, -7, 0, 7, 34, 48, 53, 24, -14, -39, 
4, 9, 4, -7, 0, 7, 34, 53, 58, 29, -14, -34, 
4, 9, 4, -7, 0, 7, 39, 58, 63, 29, -14, -34, 
4, 14, 9, -9, -2, 12, 48, 63, 68, 29, -14, -29, 
0, 19, 19, -9, -9, 19, 63, 68, 73, 39, -19, -24, 
0, 24, 24, -12, -12, 24, 63, 68, 73, 39, -19, -24, 
4, 29, 24, -17, -9, 26, 58, 68, 73, 39, -14, -29, 
9, 34, 24, -21, -7, 29, 53, 63, 73, 39, -14, -29, 
9, 39, 29, -24, -9, 34, 43, 58, 82, 39, -14, -24, 
14, 43, 29, -29, -7, 36, 39, 53, 82, 43, -4, -19, 
14, 53, 39, -34, -12, 46, 29, 53, 82, 48, -4, -19, 
14, 58, 43, -36, -14, 51, 29, 48, 82, 48, -4, -24, 
24, 68, 43, -46, -9, 56, 14, 34, 82, 48, -4, -14, 
24, 68, 43, -46, -9, 56, 4, 29, 78, 48, -4, -9, 
34, 82, 48, -58, -7, 65, -4, 19, 78, 43, -4, -9, 
39, 87, 48, -63, -4, 68, -19, 0, 73, 43, -9, -9, 
48, 87, 39, -68, 4, 63, -48, -14, 58, 29, -14, -29, 
53, 87, 34, -70, 9, 61, -78, -39, 43, 19, -24, -34, 
58, 82, 24, -70, 17, 53, -97, -53, 24, 9, -29, -39, 
63, 82, 19, -73, 21, 51, -107, -63, 14, 0, -34, -39, 
53, 87, 34, -70, 9, 61, -117, -73, -4, -9, -34, -43, 
58, 87, 29, -73, 14, 58, -126, -78, -14, -19, -39, -48, 
58, 87, 29, -73, 14, 58, -117, -78, -14, -19, -43, -53, 
58, 87, 29, -73, 14, 58, -112, -78, -14, -19, -43, -53, 
73, 87, 14, -80, 29, 51, -97, -63, -4, -24, -43, -43, 
78, 82, 4, -80, 36, 43, -92, -63, -4, -24, -43, -43, 
82, 82, 0, -82, 41, 41, -87, -63, -9, -24, -43, -43, 
82, 73, -9, -78, 46, 31, -82, -53, -9, -24, -43, -43, 
73, 58, -14, -65, 43, 21, -73, -53, -14, -24, -48, -43, 
58, 58, 0, -58, 29, 29, -68, -48, -14, -24, -48, -43, 
53, 43, -9, -48, 31, 17, -53, -43, -9, -19, -48, -48, 
43, 34, -9, -39, 26, 12, -39, -34, -9, -19, -48, -53, 
24, 14, -9, -19, 17, 2, -29, -24, -4, -19, -48, -58, 
9, 4, -4, -7, 7, 0, -19, -14, 0, -19, -48, -63, 
0, -4, -4, 2, 2, -4, -4, -9, 0, -19, -53, -63, 
-4, -14, -9, 9, 2, -12, 4, -4, 0, -19, -58, -68, 
-14, -24, -9, 19, -2, -17, 4, -4, 0, -24, -63, -68, 
-14, -29, -14, 21, 0, -21, 4, -4, 0, -29, -68, -73, 
-14, -39, -24, 26, 4, -31, 4, -4, -4, -29, -68, -78, 
-19, -43, -24, 31, 2, -34, 4, -4, -9, -34, -73, -82, 
-19, -48, -29, 34, 4, -39, 14, -19, -4, -43, -92, -92, 
-19, -48, -29, 34, 4, -39, 14, -19, -4, -43, -92, -92, 
-24, -48, -24, 36, 0, -36, 14, -19, -4, -43, -92, -92, 
-24, -48, -24, 36, 0, -36, 19, -19, -4, -43, -92, -92, 
-24, -48, -24, 36, 0, -36, 9, -9, -4, -48, -82, -92, 
-19, -48, -29, 34, 4, -39, 9, -9, -4, -48, -82, -92, 
-19, -48, -29, 34, 4, -39, 9, -9, -9, -48, -87, -92, 
-19, -53, -34, 36, 7, -43, 4, -9, -9, -48, -87, -97, 
